Status,Date,Description,Debit,Credit
Cleared,11/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",144.90,
Cleared,11/25/2025,"ALAMEDA COUNTY ACI SR SAN LEANDRO CA",156.34,
Cleared,11/24/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",12.06,
Cleared,11/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-1567.50
Cleared,11/21/2025,"HOMEGOODS # 0548 SAN RAMON CA null XXXXXXXXXXXX5212",27.43,
Cleared,11/20/2025,"MEDICAL/RX INS TAMPA FL",17.40,
Cleared,11/17/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",41.27,
Cleared,11/14/2025,"MACYS PLEASANTON PLEASANTON CA",,-32.51
Cleared,11/10/2025,"MARSHALLS #0532 DANVILLE CA null XXXXXXXXXXXX5212",21.74,
Cleared,11/10/2025,"SMOG KING SAN RAMON CA",68.00,
Cleared,11/09/2025,"CHEVRON 0382392 MILPITAS CA",14.00,
Cleared,11/06/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX5212",0.37,
Cleared,11/06/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX1993",81.19,
Cleared,11/03/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",57.85,
Cleared,11/02/2025,"IN-N-OUT CABAZON CABAZON CA null XXXXXXXXXXXX5212",15.14,
Cleared,11/01/2025,"TORTOISE ROCK AT OASIS TWENTYNINE PA CA null XXXXXXXXXXXX5212",11.04,
Cleared,10/31/2025,"LAS VEGAS SUPERSTOR LAS VEGAS NV",3.28,
Cleared,10/31/2025,"85C BAKERY CAFE USA LAS VEGAS NV null XXXXXXXXXXXX5212",6.25,
Cleared,10/31/2025,"BLUE SHIELD CALIFORNIA SAN FRANCISCO CA",15.30,
Cleared,10/31/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,10/27/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",8.36,
Cleared,10/26/2025,"NV PARKS VALLEY FIRE 1 OVERTON NV",15.00,
Cleared,10/26/2025,"85C BAKERY CAFE USA LAS VEGAS NV null XXXXXXXXXXXX5212",32.11,
Cleared,10/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",144.90,
Cleared,10/24/2025,"TRADER JOE S #284 LAS VEGAS NV null XXXXXXXXXXXX1993",23.71,
Cleared,10/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-4533.17
Cleared,10/22/2025,"MCDONALD'S F31819 PAGE AZ null XXXXXXXXXXXX5212",45.97,
Cleared,10/21/2025,"CITY OF PAGE HSB PAGE AZ",10.00,
Cleared,10/21/2025,"BURGER KING #21195 Q07 CAMERON AZ null XXXXXXXXXXXX5212",38.59,
Cleared,10/20/2025,"SQ *HISTORIC ROUTE 66 Kingman AZ null XXXXXXXXXXXX5212",8.28,
Cleared,10/20/2025,"MACYS .COM MASON OH",32.51,
Cleared,10/19/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",10.96,
Cleared,10/19/2025,"85C BAKERY CAFE USA LAS VEGAS NV null XXXXXXXXXXXX5212",17.30,
Cleared,10/19/2025,"MEDICAL/RX INS TAMPA FL",17.40,
Cleared,10/19/2025,"TM *SPHERE PARKING PFE LOS ANGELES CA",20.00,
Cleared,10/18/2025,"LAS VEGAS SUPERSTOR LAS VEGAS NV",13.88,
Cleared,10/18/2025,"MACYS .COM MASON OH",14.09,
Cleared,10/16/2025,"WM SUPERCENTER #3473 LAS VEGAS NV",8.58,
Cleared,10/15/2025,"TRADER JOE S #280 HENDERSON NV null XXXXXXXXXXXX1993",33.91,
Cleared,10/13/2025,"CLV PARKING METER LAS VEGAS NV",3.00,
Cleared,10/13/2025,"Subway 31833 Las Vegas NV null XXXXXXXXXXXX5212",16.90,
Cleared,10/13/2025,"85C BAKERY CAFE USA LAS VEGAS NV null XXXXXXXXXXXX5212",5.45,
Cleared,10/13/2025,"STARBUCKS 85448 LAS VEGAS NV null XXXXXXXXXXXX5212",5.91,
Cleared,10/13/2025,"4930 LVNPO LAS VEGAS NV",5.00,
Cleared,10/13/2025,"LAZ PARKING M40116 LAS VEGAS NV",6.00,
Cleared,10/12/2025,"CITY OF LAS VEGAS FLOY LAS VEGAS NV",6.00,
Cleared,10/11/2025,"IKEA LAS VEGAS LAS VEGAS NV",3.24,
Cleared,10/11/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",40.15,
Cleared,10/10/2025,"TERRIBLE HERBST - 345 LAS VEGAS NV",9.00,
Cleared,10/10/2025,"EXCALIBUR HTL SELFPARK LAS VEGAS NV null XXXXXXXXXXXX1993",20.00,
Cleared,10/10/2025,"STARBUCKS - IPANEMA LAS VEGAS NV null XXXXXXXXXXXX5212",8.72,
Cleared,10/09/2025,"METROPOLIS PARKING NASHVILLE TN null XXXXXXXXXXXX1993",2.00,
Cleared,10/09/2025,"HERSHEYS CHOCOLATE WOR LAS VEGAS NV null XXXXXXXXXXXX5212",6.45,
Cleared,10/08/2025,"METROPOLIS PARKING NASHVILLE TN null XXXXXXXXXXXX1993",21.00,
Cleared,10/08/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",15.60,
Cleared,10/07/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",19.49,
Cleared,10/06/2025,"RTC, Las Vegas Las Vegas NV null XXXXXXXXXXXX5212",10.00,
Cleared,10/06/2025,"RTC, Las Vegas Las Vegas NV null XXXXXXXXXXXX1993",10.00,
Cleared,10/04/2025,"TRADER JOE S #284 LAS VEGAS NV null XXXXXXXXXXXX1993",55.95,
Cleared,10/04/2025,"DAISO - DOWNTOWN SUMME LAS VEGAS NV",4.88,
Cleared,10/02/2025,"85C BAKERY CAFE USA LAS VEGAS NV",3.40,
Cleared,10/02/2025,"H MART LAS VEGAS LAS VEGAS NV null XXXXXXXXXXXX1993",54.58,
Cleared,10/01/2025,"SUBWAY 1819 BAKERSFIELD CA",8.16,
Cleared,09/30/2025,"SEQUOIA & KINGS CANYON THREE RIVERS CA",80.00,
Cleared,09/30/2025,"PANDA EXPRESS #958 TULARE CA",14.72,
Cleared,09/30/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,09/30/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,09/30/2025,"BURGER KING #28985 Q07 VISALIA CA",15.17,
Cleared,09/29/2025,"FOODSCO # 0783 TULARE CA null XXXXXXXXXXXX1993",10.72,
Cleared,09/29/2025,"BAJA FRESH #30735 MADERA CA",14.00,
Cleared,09/29/2025,"REFRESH TRAVEL PLAZA B MADERA CA",13.89,
Cleared,09/26/2025,"MACYS PLEASANTON PLEASANTON CA",104.96,
Cleared,09/24/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",11.07,
Cleared,09/23/2025,"AUTO TECH SAN RAMON CA",231.99,
Cleared,09/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-6684.46
Cleared,09/22/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",145.78,
Cleared,09/21/2025,"MEDICAL/RX INS 877-389-9457 FL",17.40,
Cleared,09/20/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",12.96,
Cleared,09/18/2025,"KAISER PHARM 471 PLEASANTON CA null XXXXXXXXXXXX3169",14.72,
Cleared,09/18/2025,"KAISER 02090470 PLEASANTON CA null XXXXXXXXXXXX3169",35.00,
Cleared,09/17/2025,"TRIP.COM NEW YORK NY null XXXXXXXXXXXX1993",201.97,
Cleared,09/14/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX5129",52.01,
Cleared,09/13/2025,"YUKI JAPANESE RESTAURA FREMONT CA",37.00,
Cleared,09/12/2025,"99 RANCH #1766 MILPITAS CA null XXXXXXXXXXXX3169",0.97,
Cleared,09/12/2025,"99 RANCH #1766 MILPITAS CA null XXXXXXXXXXXX5129",36.00,
Cleared,09/09/2025,"PTI*ANTELOPECANYONN PAGE/LECHEE AZ",449.04,
Cleared,09/08/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX3169",2.49,
Cleared,09/08/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX5129",25.51,
Cleared,09/07/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",22.99,
Cleared,09/06/2025,"AIRBNB * HME29XP9PK 4158005959 CA null XXXXXXXXXXXX9466",131.24,
Cleared,09/02/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,09/02/2025,"AIRBNB * HMTAQTSHCJ 4158005959 CA null XXXXXXXXXXXX9466",2126.63,
Cleared,09/01/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",16.96,
Cleared,08/31/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,08/28/2025,"DUCKYS SAN RAMON SAN RAMON CA",14.00,
Cleared,08/26/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",0.19,
Cleared,08/26/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",35.28,
Cleared,08/26/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX1993",65.02,
Cleared,08/26/2025,"TESLA SERVICE US 8777983752 CA null XXXXXXXXXXXX3474",134.89,
Cleared,08/26/2025,"FOREIGN TRANSACTION FEE",0.72,
Cleared,08/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.95,
Cleared,08/25/2025,"ALAMEDA COUNTY ACI SR SAN LEANDRO CA",156.34,
Cleared,08/23/2025,"FASTRAK CSC SAN FRANCISCO CA",25.00,
Cleared,08/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-2437.28
Cleared,08/22/2025,"STANFORD PARKMOBILE REDWOOD CITY CA null XXXXXXXXXXXX1993",2.63,
Cleared,08/22/2025,"STANFORD PARKMOBILE REDWOOD CITY CA null XXXXXXXXXXXX1993",4.86,
Cleared,08/22/2025,"STANFORD PARKMOBILE REDWOOD CITY CA null XXXXXXXXXXXX1993",13.78,
Cleared,08/20/2025,"MEDICAL/RX INS 877-389-9457 FL",17.40,
Cleared,08/20/2025,"CONTRA COSTA COMM COLL MARTINEZ CA",145.00,
Cleared,08/19/2025,"KAISER CPP PHARM 256 LIVERMORE CA",11.00,
Cleared,08/18/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",29.80,
Cleared,08/14/2025,"D25969867 18007220081 FL",241.98,
Cleared,08/14/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",62.32,
Cleared,08/14/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",3.60,
Cleared,08/09/2025,"SP IKAWA AT HOME LONDON GBR",1725.61,
Cleared,08/07/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",21.61,
Cleared,08/06/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",23.44,
Cleared,08/05/2025,"99 RANCH #1771 DUBLIN CA",,-3.29
Cleared,08/05/2025,"WHOLEFDS DUN #10547 DUBLIN CA null XXXXXXXXXXXX3169",9.48,
Cleared,08/05/2025,"CMS MEDICARE INSURANCE BALTIMORE MD",3098.00,
Cleared,08/04/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX1993",50.55,
Cleared,07/31/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,07/31/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,07/30/2025,"Tchibo 6102 Luzern CHE null XXXXXXXXXXXX3169",17.20,
Cleared,07/28/2025,"ATELIER 116 STRASBOURG FRA null XXXXXXXXXXXX3169",7.07,
Cleared,07/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.99,
Cleared,07/24/2025,"FOREIGN TRANSACTION FEE",0.17,
Cleared,07/23/2025,"Rederij Lovers B.V. Amsterdam NLD null XXXXXXXXXXXX1993",1.18,
Cleared,07/23/2025,"Esso K 112860000007078 OOSTERHOUT NB NLD null XXXXXXXXXXXX3169",4.93,
Cleared,07/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-2365.14
Cleared,07/20/2025,"MEDICAL/RX INS 877-389-9457 FL",17.40,
Cleared,07/19/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",3.07,
Cleared,07/19/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",3.60,
Cleared,07/18/2025,"SAFEWAY #2712 SAN RAMON CA null XXXXXXXXXXXX3169",19.71,
Cleared,07/16/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",8.27,
Cleared,07/15/2025,"SPROUTS FARMERS MARK DUBLIN CA null XXXXXXXXXXXX1993",5.95,
Cleared,07/13/2025,"TST* ROAM ARTISAN BURG SAN MATEO CA null XXXXXXXXXXXX3169",40.00,
Cleared,07/12/2025,"SQ *C FARM San Ramon CA null XXXXXXXXXXXX3169",9.50,
Cleared,07/11/2025,"EPG*GRAD IMAGES 800-261-2576 IA",152.08,
Cleared,07/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,07/10/2025,"BCY*BACKCOUNTRY.COM 801-204-4655 UT",130.44,
Cleared,07/08/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX3169",26.33,
Cleared,07/07/2025,"REI #143 DUBLIN DUBLIN CA null XXXXXXXXXXXX3169",,-65.42
Cleared,07/07/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX1993",28.28,
Cleared,07/07/2025,"DAISO - DUBLIN DUBLIN CA",4.96,
Cleared,07/07/2025,"REI #143 DUBLIN DUBLIN CA null XXXXXXXXXXXX3169",66.10,
Cleared,07/05/2025,"TST*LA BAGUETTE Palo Alto CA null XXXXXXXXXXXX3169",6.19,
Cleared,07/05/2025,"CHARGEPOINT, INC CAMPBELL CA null XXXXXXXXXXXX1993",9.06,
Cleared,07/05/2025,"STANFORD UNIV BKST #67 STANFORD CA null XXXXXXXXXXXX1993",32.63,
Cleared,07/04/2025,"TRADER JOE S #069 MENLO PARK CA null XXXXXXXXXXXX1993",36.92,
Cleared,07/04/2025,"TM *SAN FRANCISCO SYMP 800-653-8000 CA null XXXXXXXXXXXX1993",84.00,
Cleared,07/03/2025,"REI #104 MOUNTAIN VIEW MOUNTAIN VIEW CA null XXXXXXXXXXXX3169",65.42,
Cleared,07/02/2025,"SQ *BLUE BOTTLE COFFEE Palo Alto CA null XXXXXXXXXXXX3169",15.75,
Cleared,07/01/2025,"CHARGEPOINT, INC CAMPBELL CA null XXXXXXXXXXXX1993",3.36,
Cleared,07/01/2025,"CHARGEPOINT, INC CAMPBELL CA null XXXXXXXXXXXX1993",13.23,
Cleared,06/30/2025,"MACYS PLEASANTON PLEASANTON CA",0.35,
Cleared,06/30/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,06/30/2025,"KAISER 02090470 PLEASANTON CA null XXXXXXXXXXXX3169",85.00,
Cleared,06/30/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,06/29/2025,"SQ *CRAFTSMAN AND WOLV San Francisco CA null XXXXXXXXXXXX3169",6.80,
Cleared,06/28/2025,"HALF MOON BAY NURSERY HALF MOON BAY CA null XXXXXXXXXXXX3169",11.80,
Cleared,06/28/2025,"TST*SAMS CHOWDER HOUSE Half Moon Bay CA null XXXXXXXXXXXX3169",82.85,
Cleared,06/27/2025,"CAFE AT MOUNTAIN VIEW: MOUNTAIN VIEW CA null XXXXXXXXXXXX3169",4.91,
Cleared,06/27/2025,"IKEA EAST PALO ALTO RE PALO ALTO CA null XXXXXXXXXXXX3169",24.15,
Cleared,06/26/2025,"AAA MEMBERSHIP 800-922-8228 CA null XXXXXXXXXXXX1218",109.98,
Cleared,06/26/2025,"AAA INSURANCE 800-922-8228 CA",548.76,
Cleared,06/25/2025,"TRADER JOE S #069 MENLO PARK CA null XXXXXXXXXXXX1993",21.45,
Cleared,06/25/2025,"CHEF KWAN MENLO PARK CA null XXXXXXXXXXXX3169",18.87,
Cleared,06/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.99,
Cleared,06/23/2025,"Theory LLC Livermore CA null XXXXXXXXXXXX3169",68.92,
Cleared,06/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-2244.45
Cleared,06/22/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",1.96,
Cleared,06/21/2025,"CLIPPER SERVICES CONCORD CA",60.00,
Cleared,06/19/2025,"THE HOME DEPOT #6604 SAN RAMON CA null XXXXXXXXXXXX3169",17.94,
Cleared,06/18/2025,"TM PHYS N * TEAMHEALTH ALCOA TN",65.73,
Cleared,06/15/2025,"FASTRAK CSC SAN FRANCISCO CA",25.00,
Cleared,06/14/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX3169",18.25,
Cleared,06/12/2025,"SP KEE WAH BAKERY CUPERTINO CA null XXXXXXXXXXXX3169",35.90,
Cleared,06/11/2025,"UNDER ARMOUR LIV LIVERMORE CA",11.03,
Cleared,06/11/2025,"CHIPOTLE 2687 LIVERMORE CA null XXXXXXXXXXXX3169",24.42,
Cleared,06/10/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",12.75,
Cleared,06/10/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",53.43,
Cleared,06/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,06/06/2025,"THE HOME DEPOT #6604 SAN RAMON CA null XXXXXXXXXXXX3169",10.95,
Cleared,06/04/2025,"KAISER 02090470 PLEASANTON CA null XXXXXXXXXXXX3169",50.00,
Cleared,06/04/2025,"AAA NCNU ERS WALNUT CR CONCORD CA",273.86,
Cleared,06/03/2025,"24 Hour Fitness USA, I 8004326348 CA null XXXXXXXXXXXX3277",120.00,
Cleared,06/03/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",1.96,
Cleared,06/03/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",125.20,
Cleared,06/02/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,05/31/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,05/29/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX3169",21.93,
Cleared,05/29/2025,"DENTAL INSURANCE AUTOP RNCHO CORDOVA CA",107.00,
Cleared,05/28/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",13.40,
Cleared,05/28/2025,"SAKS O5 LIVERMORE 769 LIVERMORE CA",14.32,
Cleared,05/28/2025,"LULULEMON SAN FRAN OUT LIVERMORE CA",153.25,
Cleared,05/27/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",40.80,
Cleared,05/27/2025,"ALAMEDA COUNTY ACI SR SAN LEANDRO CA",156.34,
Cleared,05/27/2025,"KAISER CPP PHARM 256 LIVERMORE CA",11.00,
Cleared,05/26/2025,"MACYS .COM MASON OH null XXXXXXXXXXXX9778",51.11,
Cleared,05/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.99,
Cleared,05/24/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",0.89,
Cleared,05/24/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",77.62,
Cleared,05/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-117.22
Cleared,05/22/2025,"Uniqlo USA LLC UNIQLO_ PLEASANTON CA null XXXXXXXXXXXX3169",32.86,
Cleared,05/21/2025,"SQ *VOYAGER CRAFT COFF Stanford CA null XXXXXXXXXXXX3169",10.80,
Cleared,05/21/2025,"STANFORD PARKMOBILE REDWOOD CITY CA null XXXXXXXXXXXX1993",13.78,
Cleared,05/19/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",26.51,
Cleared,05/14/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",70.09,
Cleared,05/14/2025,"MEDICAL/RX INS 877-389-9457 FL",52.20,
Cleared,05/14/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",3.60,
Cleared,05/13/2025,"CMS MEDICARE INSURANCE BALTIMORE MD",925.00,
Cleared,05/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,04/30/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,04/30/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,04/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.99,
Cleared,04/24/2025,"MEMBERSHIP FEE APR 25-MAR 26",0.00,
Cleared,04/24/2025,"FOREIGN TRANSACTION FEE",2.36,
Cleared,04/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-1711.22
Cleared,04/19/2025,"WWW.GETNOMAD.APP SANTA CLARA CA null XXXXXXXXXXXX1993",6.50,
Cleared,04/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,04/04/2025,"WWW.GETNOMAD.APP SANTA CLARA CA null XXXXXXXXXXXX1993",12.00,
Cleared,03/30/2025,"THE SHILLA DUTY FREE_I INCHEON KOR",78.77,
Cleared,03/25/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",3.60,
Cleared,03/25/2025,"MCDONALD'S F18667 FORT BRAGG CA null XXXXXXXXXXXX3169",23.57,
Cleared,03/24/2025,"Subway 15545 Fort Bragg CA null XXXXXXXXXXXX3169",13.60,
Cleared,03/23/2025,"RAYS FOOD PLACE #64 GARBERVILLE CA null XXXXXXXXXXXX3169",12.92,
Cleared,03/23/2025,"RAYS FOOD PLACE #64 GARBERVILLE CA null XXXXXXXXXXXX3169",13.33,
Cleared,03/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-827.13
Cleared,03/22/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",146.99,
Cleared,03/22/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",5.30,
Cleared,03/22/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",13.53,
Cleared,03/18/2025,"NORDSTROM #0421 WALNUT CREEK CA",191.19,
Cleared,03/18/2025,"INTUIT *TURBOTAX CL.INTUIT.COM CA",50.00,
Cleared,03/18/2025,"SAFEWAY #0982 SAN RAMON CA",6.00,
Cleared,03/17/2025,"REI #143 DUBLIN DUBLIN CA null XXXXXXXXXXXX3169",,-49.31
Cleared,03/14/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",2.49,
Cleared,03/14/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",29.51,
Cleared,03/11/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",74.84,
Cleared,03/10/2025,"WALGREENS #16090 SAN RAMON CA",20.65,
Cleared,03/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,03/09/2025,"85C BAKERY CAFE USA PLEASANTON CA null XXXXXXXXXXXX3169",32.51,
Cleared,03/08/2025,"LULULEMONCOM* 877-263-9300 CA",213.15,
Cleared,03/07/2025,"SP KEE WAH BAKERY CUPERTINO CA null XXXXXXXXXXXX3169",10.25,
Cleared,03/07/2025,"SPROUTS FARMERS MARK DUBLIN CA null XXXXXXXXXXXX3169",14.28,
