Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,memo
DEBIT,10/31/2025,"AMERICAN EXPRESS ACH PMT    A2126           WEB ID: 9493560001",-1965.12,ACH_DEBIT,45197.21,,
DEBIT,10/30/2025,"Online Payment 26401873956 To Hope Valley Farms North Owners 10/30",-33.00,BILLPAY,47162.33,,
DEBIT,10/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-51.49,ACH_DEBIT,47195.33,,
DEBIT,10/28/2025,"PGANDE           WEB ONLINE 49637697100825  WEB ID: 5940742640",-41.88,ACH_DEBIT,47246.82,,
CREDIT,10/24/2025,"INTEREST PAYMENT",0.43,MISC_CREDIT,47288.70,,
DEBIT,10/22/2025,"CITI AUTOPAY     PAYMENT    271835079480049 WEB ID: CITICARDAP",-4533.17,MISC_DEBIT,47288.27,,
DEBIT,10/20/2025,"CMS MEDICARE     PREMIUMS                   PPD ID: 7505008009",-670.50,ACH_DEBIT,51821.44,,
CREDIT,10/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",690.66,ACH_CREDIT,52491.94,,
DEBIT,10/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,51801.28,,
DEBIT,10/14/2025,"T-MOBILE         PCS SVC    3107366         WEB ID: 0000450304",-206.00,ACH_DEBIT,53098.70,,
DEBIT,10/07/2025,"ATT              PAYMENT                    PPD ID: 9864031004",-65.33,ACH_DEBIT,53304.70,,
DEBIT,10/06/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-11.20,ACH_DEBIT,53370.03,,
DEBIT,10/06/2025,"UnitedHealthcare Premium    879963373735    WEB ID: 1836282001",-177.01,ACH_DEBIT,53381.23,,
DEBIT,10/06/2025,"CITI AUTOPAY     PAYMENT    291819525090016 WEB ID: CITICARDAP",-1383.29,MISC_DEBIT,53558.24,,
CREDIT,10/01/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,54941.53,,
DEBIT,09/30/2025,"AMERICAN EXPRESS ACH PMT    A3020           WEB ID: 9493560001",-53.17,ACH_DEBIT,54584.44,,
DEBIT,09/30/2025,"Online Payment 26005000776 To Hope Valley Farms North Owners 09/30",-33.00,BILLPAY,54637.61,,
DEBIT,09/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-170.44,ACH_DEBIT,54670.61,,
DEBIT,09/29/2025,"PGANDE           WEB ONLINE 45975177090925  WEB ID: 5940742640",-40.24,ACH_DEBIT,54841.05,,
CREDIT,09/24/2025,"INTEREST PAYMENT",0.67,MISC_CREDIT,54881.29,,
DEBIT,09/22/2025,"Zelle payment to Gina Yuan JPM99bo0bc31",-1500.00,CHASE_TO_PARTNERFI,54880.62,,
DEBIT,09/22/2025,"CMS MEDICARE     PREMIUMS                   PPD ID: 7505008009",-670.50,ACH_DEBIT,56380.62,,
DEBIT,09/22/2025,"CITI AUTOPAY     PAYMENT    271807432250029 WEB ID: CITICARDAP",-6684.46,MISC_DEBIT,57051.12,,
CREDIT,09/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1895.20,ACH_CREDIT,63735.58,,
DEBIT,09/15/2025,"IRS              USATAXPYMT 222565865249841 WEB ID: 3387702000",-10000.00,ACH_DEBIT,61840.38,,
DEBIT,09/15/2025,"T-MOBILE         PCS SVC    1672488         WEB ID: 0000450304",-214.00,ACH_DEBIT,71840.38,,
DEBIT,09/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,72054.38,,
DEBIT,09/08/2025,"DSRSD            UTILITY                    PPD ID: 2946050194",-196.45,ACH_DEBIT,73351.80,,
DEBIT,09/08/2025,"CITI AUTOPAY     PAYMENT    291795342330244 WEB ID: CITICARDAP",-1061.47,MISC_DEBIT,73548.25,,
DEBIT,09/05/2025,"Unitedhealthcare Premium    879859859073    WEB ID: 1836282001",-177.01,ACH_DEBIT,74609.72,,
DEBIT,09/04/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-65.00,ACH_DEBIT,74786.73,,
DEBIT,09/02/2025,"AMERICAN EXPRESS ACH PMT    A4182           WEB ID: 9493560001",-195.98,ACH_DEBIT,74851.73,,
CREDIT,09/02/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,75047.71,,
DEBIT,08/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-171.02,ACH_DEBIT,74690.62,,
DEBIT,08/29/2025,"Manual DB-Bkrg 08/29",-150000.00,ACCT_XFER,74861.64,,
DEBIT,08/28/2025,"Online Payment 25668185385 To Hope Valley Farms North Owners 08/28",-33.00,BILLPAY,224861.64,,
DEBIT,08/28/2025,"PGANDE           WEB ONLINE 42236094080825  WEB ID: 5940742640",-30.43,ACH_DEBIT,224894.64,,
CREDIT,08/27/2025,"FID BKG SVC LLC  MONEYLINE  X783546401EY4CO WEB ID: 1035141375",80000.00,ACH_CREDIT,224925.07,,
DEBIT,08/26/2025,"VIKING RIVER CRU 8182271234                 PPD ID: 1954788283",-10441.67,ACH_DEBIT,144925.07,,
CREDIT,08/26/2025,"FID BKG SVC LLC  MONEYLINE  X783546401ESECB WEB ID: 1035141375",100000.00,ACH_CREDIT,155366.74,,
CREDIT,08/25/2025,"INTEREST PAYMENT",0.23,MISC_CREDIT,55366.74,,
DEBIT,08/25/2025,"ONLINE DOMESTIC WIRE TRANSFER A/C: BO HU SAN DIEGO CA 92130-5007 US REF: LOAN FOR HOUSE PURCHASE TRN: 3207135237ES 08/25",-100000.00,WIRE_OUTGOING,55366.51,,
DSLIP,08/25/2025,"REMOTE ONLINE DEPOSIT #          1",15.80,CHECK_DEPOSIT,155366.51,1,
DEBIT,08/22/2025,"CITI AUTOPAY     PAYMENT    271782373100092 WEB ID: CITICARDAP",-2437.28,MISC_DEBIT,155350.71,,
DEBIT,08/19/2025,"Manual DB-Bkrg 08/19",-100000.00,ACCT_XFER,157787.99,,
CREDIT,08/18/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1895.20,ACH_CREDIT,257787.99,,
CREDIT,08/18/2025,"FID BKG SVC LLC  MONEYLINE  X783546401EBUKG WEB ID: 1035141375",100000.00,ACH_CREDIT,255892.79,,
DEBIT,08/15/2025,"T-MOBILE         PCS SVC    0010557         WEB ID: 0000450304",-222.27,ACH_DEBIT,155892.79,,
DEBIT,08/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,156115.06,,
CREDIT,08/14/2025,"FID BKG SVC LLC  MONEYLINE  X783546401E54QG WEB ID: 1035141375",100000.00,ACH_CREDIT,157412.48,,
CREDIT,08/08/2025,"Online Transfer 25761125581 from Capital One 360 #####7178 transaction #: 25761125581 08/08",25000.00,ACCT_XFER,57412.48,,
DEBIT,08/06/2025,"CITI AUTOPAY     PAYMENT    291768548340003 WEB ID: CITICARDAP",-1774.60,MISC_DEBIT,32412.48,,
DEBIT,08/05/2025,"Unitedhealthcare Premium    879087734252    WEB ID: 1836282001",-177.01,ACH_DEBIT,34187.08,,
DEBIT,08/05/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,34364.09,,
DEBIT,08/04/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-65.00,ACH_DEBIT,39573.43,,
DEBIT,08/01/2025,"APPLECARD GSBANK PAYMENT    2965484         WEB ID: 9999999999",-105.51,ACH_DEBIT,39638.43,,
CREDIT,08/01/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,39743.94,,
DEBIT,07/31/2025,"AMERICAN EXPRESS ACH PMT    A6572           WEB ID: 9493560001",-27.74,ACH_DEBIT,39386.85,,
DEBIT,07/31/2025,"Online Payment 25305224574 To Hope Valley Farms North Owners 07/31",-33.00,BILLPAY,39414.59,,
DEBIT,07/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-132.71,ACH_DEBIT,39447.59,,
DEBIT,07/22/2025,"CITI AUTOPAY     PAYMENT    271755619370047 WEB ID: CITICARDAP",-2365.14,MISC_DEBIT,39580.30,,
DEBIT,07/21/2025,"ST OF CA DMV     INTERNET   087357336250718 WEB ID: 1680311348",-1008.00,ACH_DEBIT,41945.44,,
CREDIT,07/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1895.20,ACH_CREDIT,42953.44,,
DEBIT,07/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,41058.24,,
DEBIT,07/14/2025,"T-MOBILE         PCS SVC    7975153         WEB ID: 0000450304",-214.00,ACH_DEBIT,42355.66,,
DEBIT,07/08/2025,"DSRSD            UTILITY                    PPD ID: 2946050194",-114.16,ACH_DEBIT,42569.66,,
DEBIT,07/07/2025,"ATM WITHDRAWAL                       009595  07/074747 HOPY",-500.00,ATM,42683.82,,
DEBIT,07/07/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-65.00,ACH_DEBIT,43183.82,,
DEBIT,07/07/2025,"CITI AUTOPAY     PAYMENT    291740902140285 WEB ID: CITICARDAP",-517.98,MISC_DEBIT,43248.82,,
DEBIT,07/07/2025,"Unitedhealthcare Premium    879676355633    WEB ID: 1836282001",-177.01,ACH_DEBIT,43766.80,,
DEBIT,07/07/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,43943.81,,
CREDIT,07/07/2025,"ATM CASH DEPOSIT 07/07 4747 HOPYARD RD STE E0 PLEASANTON CA",500.00,ATM,49153.15,,
CREDIT,07/03/2025,"Online Transfer 25341696954 from Capital One 360 #####7178 transaction #: 25341696954 07/03",10000.00,ACCT_XFER,48653.15,,
CREDIT,07/01/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,38653.15,,
DEBIT,06/30/2025,"Online Payment 24926395854 To Hope Valley Farms North Owners 06/30",-33.00,BILLPAY,38296.06,,
DEBIT,06/30/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-264.63,ACH_DEBIT,38329.06,,
DEBIT,06/23/2025,"CITI AUTOPAY     PAYMENT    271728804380022 WEB ID: CITICARDAP",-2244.45,MISC_DEBIT,38593.69,,
CREDIT,06/23/2025,"Zelle payment from GUANGWEN LEI WFCT0YY7BR7X",1.00,PARTNERFI_TO_CHASE,40838.14,,
CREDIT,06/23/2025,"Zelle payment from GUANGWEN LEI WFCT0YY7BVJT",500.00,PARTNERFI_TO_CHASE,40837.14,,
DEBIT,06/17/2025,"Zelle payment to Gina Yuan JPM99bch5wqi",-1000.00,CHASE_TO_PARTNERFI,40337.14,,
CREDIT,06/17/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1745.20,ACH_CREDIT,41337.14,,
DEBIT,06/16/2025,"T-MOBILE         PCS SVC    6539117         WEB ID: 0000450304",-206.27,ACH_DEBIT,39591.94,,
DEBIT,06/16/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,39798.21,,
DEBIT,06/05/2025,"UnitedHealthcare Premium    879963216357    WEB ID: 1836282001",-177.01,ACH_DEBIT,41095.63,,
DEBIT,06/05/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,41272.64,,
DEBIT,06/04/2025,"COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249",-65.00,ACH_DEBIT,46481.98,,
DEBIT,06/02/2025,"APPLECARD GSBANK PAYMENT    2965484         WEB ID: 9999999999",-7.00,ACH_DEBIT,46546.98,,
DEBIT,06/02/2025,"AMERICAN EXPRESS ACH PMT    A9570           WEB ID: 9493560001",-782.95,ACH_DEBIT,46553.98,,
CREDIT,06/02/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,47336.93,,
DEBIT,05/29/2025,"Online Payment 24585132783 To Hope Valley Farms North Owners 05/29",-33.00,BILLPAY,46979.84,,
DEBIT,05/22/2025,"CITI AUTOPAY     PAYMENT    271702905900012 WEB ID: CITICARDAP",-117.22,MISC_DEBIT,47012.84,,
CREDIT,05/20/2025,"CONNECTYOURCARE  OPTUMCLAIM                 PPD ID: 7261274092",11.99,ACH_CREDIT,47130.06,,
DEBIT,05/19/2025,"VIKING RIVER CRU 8182271234                 PPD ID: 1954788283",-2512.27,ACH_DEBIT,47118.07,,
CREDIT,05/19/2025,"Online Transfer 24790273892 from Capital One 360 #####7178 transaction #: 24790273892 05/19",25000.00,ACCT_XFER,49630.34,,
CREDIT,05/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1840.00,ACH_CREDIT,24630.34,,
DSLIP,05/16/2025,"REMOTE ONLINE DEPOSIT #          1",447.00,CHECK_DEPOSIT,22790.34,1,
DEBIT,05/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,22343.34,,
DEBIT,05/14/2025,"T-MOBILE         PCS SVC    4954343         WEB ID: 0000450304",-207.83,ACH_DEBIT,23640.76,,
DEBIT,05/12/2025,"ATM WITHDRAWAL                       005005  05/124747 HOPY",-300.00,ATM,23848.59,,
DEBIT,05/07/2025,"DSRSD            UTILITY                    PPD ID: 2946050194",-114.16,ACH_DEBIT,24148.59,,
DEBIT,05/06/2025,"CITI AUTOPAY     PAYMENT    291689069550043 WEB ID: CITICARDAP",-4164.22,MISC_DEBIT,24262.75,,
DEBIT,05/05/2025,"COMCAST          CABLE                      PPD ID: 0000213249",-65.00,ACH_DEBIT,28426.97,,
DEBIT,05/05/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,28491.97,,
CREDIT,05/01/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,33701.31,,
DEBIT,04/30/2025,"AMERICAN EXPRESS ACH PMT    A1368           WEB ID: 9493560001",-14.08,ACH_DEBIT,33344.22,,
DEBIT,04/30/2025,"Online Payment 24238088048 To Hope Valley Farms North Owners 04/30",-33.00,BILLPAY,33358.30,,
DEBIT,04/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-175.67,ACH_DEBIT,33391.30,,
DEBIT,04/22/2025,"CITI AUTOPAY     PAYMENT    271676982670081 WEB ID: CITICARDAP",-1711.22,MISC_DEBIT,33566.97,,
CREDIT,04/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1690.00,ACH_CREDIT,35278.19,,
DEBIT,04/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1394.40,ACH_DEBIT,33588.19,,
DEBIT,04/14/2025,"T-MOBILE         PCS SVC    3724635         WEB ID: 0000450304",-186.00,ACH_DEBIT,34982.59,,
CREDIT,04/08/2025,"FRANCHISE TAX BD CASTTAXRFD                 PPD ID: 9282532045",3094.00,ACH_CREDIT,35168.59,,
DEBIT,04/07/2025,"Zelle payment to Eric UOYE Travel JPM99b3zgy7r",-3340.00,CHASE_TO_PARTNERFI,32074.59,,
DEBIT,04/07/2025,"CITI AUTOPAY     PAYMENT    291662288090330 WEB ID: CITICARDAP",-2236.22,MISC_DEBIT,35414.59,,
DEBIT,04/07/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,37650.81,,
DEBIT,04/04/2025,"COMCAST 8155400  170726580                  PPD ID: 0000213249",-65.00,ACH_DEBIT,42860.15,,
CREDIT,04/01/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,42925.15,,
DEBIT,03/31/2025,"AMERICAN EXPRESS ACH PMT    A1072           WEB ID: 9493560001",-196.96,ACH_DEBIT,42568.06,,
DEBIT,03/31/2025,"Online Payment 23862569218 To Hope Valley Farms North Owners 03/31",-33.00,BILLPAY,42765.02,,
DEBIT,03/31/2025,"PGANDE           WEB ONLINE 25573458030925  WEB ID: 5940742640",-259.62,ACH_DEBIT,42798.02,,
DEBIT,03/24/2025,"CITI AUTOPAY     PAYMENT    271650181290085 WEB ID: CITICARDAP",-827.13,MISC_DEBIT,43057.64,,
CREDIT,03/24/2025,"CONNECTYOURCARE  OPTUMCLAIM                 PPD ID: 7261274092",35.04,ACH_CREDIT,43884.77,,
DEBIT,03/20/2025,"IRS              USATAXPYMT                 PPD ID: 3387702000",-2973.00,ACH_DEBIT,43849.73,,
DEBIT,03/17/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1394.40,ACH_DEBIT,46822.73,,
CREDIT,03/17/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1790.00,ACH_CREDIT,48217.13,,
DEBIT,03/14/2025,"T-MOBILE         PCS SVC    2805509         WEB ID: 0000450304",-178.00,ACH_DEBIT,46427.13,,
DEBIT,03/10/2025,"Zelle payment to Gina Yuan JPM99b0toncp",-1000.00,CHASE_TO_PARTNERFI,46605.13,,
DEBIT,03/10/2025,"DSRSD            UTILITY                    PPD ID: 2946050194",-112.09,ACH_DEBIT,47605.13,,
DEBIT,03/06/2025,"CITI AUTOPAY     PAYMENT    291636392810028 WEB ID: CITICARDAP",-1001.55,MISC_DEBIT,47717.22,,
DSLIP,03/06/2025,"REMOTE ONLINE DEPOSIT #          1",8.05,CHECK_DEPOSIT,48718.77,1,
DEBIT,03/05/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,48710.72,,
DEBIT,03/04/2025,"COMCAST 8155400  170726580                  PPD ID: 0000213249",-65.00,ACH_DEBIT,53920.06,,
DEBIT,03/03/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-26.78,ACH_DEBIT,53985.06,,
CREDIT,03/03/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,54011.84,,
DEBIT,02/28/2025,"AMERICAN EXPRESS ACH PMT    A0250           WEB ID: 9493560001",-10.34,ACH_DEBIT,53654.75,,
DEBIT,02/27/2025,"Online Payment 23544761592 To Hope Valley Farms North Owners 02/27",-33.00,BILLPAY,53665.09,,
DEBIT,02/27/2025,"PGANDE           WEB ONLINE 21826272020725  WEB ID: 5940742640",-332.96,ACH_DEBIT,53698.09,,
CREDIT,02/27/2025,"COSTCO CASH      REWARD                     PPD ID: COSTCOREWD",390.51,MISC_CREDIT,54031.05,,
DEBIT,02/25/2025,"VIKING RIVER CRU 8182271234                 PPD ID: 1954788283",-7055.23,ACH_DEBIT,53640.54,,
CREDIT,02/25/2025,"CONNECTYOURCARE  OPTUMCLAIM                 PPD ID: 7261274092",20.00,ACH_CREDIT,60695.77,,
DEBIT,02/24/2025,"CITI AUTOPAY     PAYMENT    271626025060094 WEB ID: CITICARDAP",-532.99,MISC_DEBIT,60675.77,,
DEBIT,02/18/2025,"T-MOBILE         PCS SVC    1768952         WEB ID: 0000450304",-183.32,ACH_DEBIT,61208.76,,
DEBIT,02/18/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1394.40,ACH_DEBIT,61392.08,,
CREDIT,02/18/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1840.00,ACH_CREDIT,62786.48,,
DEBIT,02/06/2025,"CITI AUTOPAY     PAYMENT    291612201480062 WEB ID: CITICARDAP",-1743.01,MISC_DEBIT,60946.48,,
DEBIT,02/05/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5209.34,ACH_DEBIT,62689.49,,
DEBIT,02/04/2025,"COMCAST 8155400  170726580                  PPD ID: 0000213249",-65.00,ACH_DEBIT,67898.83,,
CREDIT,02/03/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,67963.83,,
DEBIT,01/31/2025,"AMERICAN EXPRESS ACH PMT    A6778           WEB ID: 9493560001",-1.45,ACH_DEBIT,67606.74,,
DEBIT,01/30/2025,"Zelle payment to Eric UOYE Travel JPM99awg53nx",-50.00,CHASE_TO_PARTNERFI,67608.19,,
DEBIT,01/30/2025,"Online Payment 23210673310 To Hope Valley Farms North Owners 01/30",-33.00,BILLPAY,67658.19,,
DEBIT,01/29/2025,"PGANDE           WEB ONLINE 18240617010925  WEB ID: 5940742640",-195.42,ACH_DEBIT,67691.19,,
DEBIT,01/28/2025,"APPLECARD GSBANK PAYMENT    2965484         WEB ID: 9999999999",-6.91,ACH_DEBIT,67886.61,,
DEBIT,01/22/2025,"CITI AUTOPAY     PAYMENT    271599246010024 WEB ID: CITICARDAP",-866.37,MISC_DEBIT,67893.52,,
CREDIT,01/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1840.00,ACH_CREDIT,68759.89,,
DEBIT,01/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1394.40,ACH_DEBIT,66919.89,,
DEBIT,01/14/2025,"T-MOBILE         PCS SVC    0233372         WEB ID: 0000450304",-176.00,ACH_DEBIT,68314.29,,
CREDIT,01/14/2025,"CONNECTYOURCARE  OPTUMCLAIM                 PPD ID: 7261274092",10.00,ACH_CREDIT,68490.29,,
DSLIP,01/13/2025,"REMOTE ONLINE DEPOSIT #          1",17.16,CHECK_DEPOSIT,68480.29,1,
DEBIT,01/07/2025,"DSRSD            UTILITY                    PPD ID: 2946050194",-141.36,ACH_DEBIT,68463.13,,
DEBIT,01/06/2025,"COMCAST 8155400  170726580                  PPD ID: 0000213249",-65.00,ACH_DEBIT,68604.49,,
DEBIT,01/06/2025,"CITI AUTOPAY     PAYMENT    291583695820112 WEB ID: CITICARDAP",-3586.42,MISC_DEBIT,68669.49,,
DEBIT,01/06/2025,"PROVIDENT FUNDIN ACH PMT                    PPD ID: 1770323586",-5137.09,ACH_DEBIT,72255.91,,
CREDIT,01/02/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,77393.00,,
